#YY,MM,DD,hh,mm,WDIR,R WSP,D GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,PTDY,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,nmi,hPa,ft
2022,3,9,20,0,230,3.1,3.1,MM,MM,MM,MM,1019.6,24.2,24.8,MM,MM,1.9,MM
2022,3,9,19,54,230,3.1,3.1,MM,MM,MM,MM,1019.7,24.3,24.9,MM,MM,MM,MM
2022,3,9,19,48,230,3.1,3.1,MM,MM,MM,MM,1019.7,24.3,24.8,MM,MM,MM,MM
2022,3,9,19,42,220,2.6,3.1,MM,MM,MM,MM,1019.8,24.3,24.9,MM,MM,MM,MM
2022,3,9,19,36,240,1,2.1,MM,MM,MM,MM,1019.8,24.7,24.9,MM,MM,MM,MM
2022,3,9,19,30,230,1.5,2.6,MM,MM,MM,MM,1019.7,24.5,24.9,MM,MM,MM,MM
2022,3,9,19,24,220,2.6,2.6,MM,MM,MM,MM,1019.7,24.3,24.9,MM,MM,MM,MM
2022,3,9,19,18,210,2.1,3.1,MM,MM,MM,MM,1019.7,24.5,24.9,MM,MM,MM,MM
2022,3,9,19,12,230,1,1,MM,MM,MM,MM,1019.7,24.6,24.9,MM,MM,MM,MM
2022,3,9,19,6,240,1,3.1,MM,MM,MM,MM,1019.6,24.3,24.9,MM,MM,MM,MM
2022,3,9,19,0,230,2.6,3.1,MM,MM,MM,MM,1019.5,24,24.9,MM,MM,1.5,MM
2022,3,9,18,54,230,2.6,2.6,MM,MM,MM,MM,1019.4,24,24.9,MM,MM,MM,MM
2022,3,9,18,48,230,1.5,2.1,MM,MM,MM,MM,1019.4,24,24.9,MM,MM,MM,MM
2022,3,9,18,42,230,1.5,2.1,MM,MM,MM,MM,1019.4,24.1,24.9,MM,MM,MM,MM
2022,3,9,18,36,250,1,1.5,MM,MM,MM,MM,1019.2,24.2,24.9,MM,MM,MM,MM
2022,3,9,18,30,250,1.5,1.5,MM,MM,MM,MM,1019.2,24,24.9,MM,MM,MM,MM
2022,3,9,18,24,230,0.5,1.5,MM,MM,MM,MM,1019.1,24.1,24.9,MM,MM,MM,MM
2022,3,9,18,18,290,1.5,1.5,MM,MM,MM,MM,1018.9,23.7,24.9,MM,MM,MM,MM
2022,3,9,18,12,290,1,1,MM,MM,MM,MM,1018.8,23.6,24.9,MM,MM,MM,MM
