#YY,MM,DD,hh,mm,WVHT,SwH,SwP,WWH,WWP,SwD,WWD,STEEPNESS,APD,MWD
#yr,mo,dy,hr,mn,m,m,sec,m,sec,-,degT,-,sec,degT
2022,3,10,18,26,1.1,0.5,10.5,0.9,9.1,NNW,NNE,AVERAGE,7.3,14
2022,3,10,17,56,1.1,0.6,10.5,0.9,9.1,NNW,N,AVERAGE,7.5,10
2022,3,10,17,26,1.1,0.6,11.1,0.9,9.9,NNW,N,AVERAGE,7.4,353
2022,3,10,16,56,1.1,0.5,11.8,0.9,9.1,NNW,N,AVERAGE,7.2,11
2022,3,10,16,26,1.1,0.5,10.5,0.9,9.1,N,N,AVERAGE,7.1,11
2022,3,10,15,56,1.1,0.6,11.1,0.9,9.1,N,NNE,AVERAGE,7,350
2022,3,10,15,26,1.2,0.7,11.1,1,9.1,N,NNE,AVERAGE,7.5,13
2022,3,10,14,56,1.2,0.7,11.8,1,9.9,NNW,N,AVERAGE,7.4,329
2022,3,10,14,26,1.2,0.8,11.8,0.9,9.1,NNW,NNE,AVERAGE,7.7,343
2022,3,10,13,56,1.2,0.6,11.1,1,9.1,NNW,N,AVERAGE,7.1,343
2022,3,10,13,26,1.2,0.7,10.5,1,9.1,N,MM,AVERAGE,7,0
2022,3,10,12,56,1.2,0.7,11.8,1,9.1,NNW,NNE,AVERAGE,7.1,16
2022,3,10,12,26,1.3,0.8,11.8,1,9.1,NNW,N,AVERAGE,7.2,331
2022,3,10,11,56,1.3,0.7,11.8,1.1,9.9,NNW,N,AVERAGE,6.8,356
2022,3,10,11,26,1.3,0.8,11.1,1,9.1,N,N,AVERAGE,7.1,352
2022,3,10,10,56,1.4,0.7,10.5,1.1,9.9,N,N,AVERAGE,7.3,353
2022,3,10,10,26,1.3,0.8,11.1,1,9.1,NNW,NNE,AVERAGE,7.5,340
2022,3,10,9,56,1.2,0.7,11.8,1,9.1,NNW,MM,AVERAGE,7.6,342
2022,3,10,9,26,1.3,0.8,12.5,1,9.1,NNW,N,AVERAGE,7.9,329
2022,3,10,8,56,1.3,0.8,11.1,1,9.9,NNW,N,AVERAGE,8.1,339
2022,3,10,8,26,1.2,0.8,12.5,0.9,9.9,NNW,N,AVERAGE,7.9,336
2022,3,10,7,56,1.4,0.9,12.5,1,9.9,NNW,N,AVERAGE,8.4,335
2022,3,10,7,26,1.3,0.9,12.5,0.9,9.1,NNW,N,SWELL,8.2,333
2022,3,10,6,56,1.4,0.9,12.5,1,9.9,NNW,N,AVERAGE,8.2,332
2022,3,10,6,26,1.5,0.9,11.1,1.1,9.9,N,N,AVERAGE,8.1,2
2022,3,10,5,56,1.5,1,12.5,1.1,9.9,NNW,N,AVERAGE,8.5,335
2022,3,10,5,26,1.4,0.9,11.8,1.1,9.1,NNW,N,AVERAGE,8.1,332
2022,3,10,4,56,1.5,1,10.5,1,9.1,NNW,NNE,SWELL,8.4,342
2022,3,10,4,26,1.6,1.1,10.5,1.2,9.1,N,N,AVERAGE,8.5,355
2022,3,10,3,56,1.5,0.9,13.3,1.1,9.1,NNW,N,AVERAGE,8.2,340
2022,3,10,3,26,1.5,1,13.3,1.1,9.9,NNW,NNW,AVERAGE,8.1,335
2022,3,10,2,56,1.5,1,13.3,1.1,9.1,NNW,N,AVERAGE,7.8,333
2022,3,10,2,26,1.6,1.1,11.1,1.2,9.9,NNW,N,AVERAGE,8.1,340
2022,3,10,1,56,1.6,1.2,12.5,1.1,9.9,NNW,N,SWELL,8.2,329
2022,3,10,1,26,1.6,1.1,13.3,1.1,9.9,NNW,NNW,SWELL,7.7,328
2022,3,10,0,56,1.6,1.1,10.5,1.1,9.1,N,N,SWELL,7.6,356
2022,3,10,0,26,1.6,1.2,11.8,1.1,8.3,NNW,N,SWELL,7.9,338
2022,3,9,23,56,1.6,1.1,12.5,1.2,9.9,NW,NNW,AVERAGE,7.8,317
2022,3,9,23,26,1.8,1.2,11.1,1.3,9.9,NNW,N,AVERAGE,7.9,348
2022,3,9,22,56,1.6,1,11.8,1.2,9.9,NW,N,AVERAGE,7.5,356
2022,3,9,22,26,1.7,1.1,11.8,1.2,9.1,NNW,N,AVERAGE,7.8,329
2022,3,9,21,56,1.7,1,11.8,1.3,9.9,NNW,N,AVERAGE,7.7,350
2022,3,9,21,26,1.7,1.2,11.8,1.2,9.9,NNW,N,SWELL,7.9,333
2022,3,9,20,56,1.7,1.2,13.3,1.2,9.9,NNW,N,SWELL,8.4,329
2022,3,9,20,26,1.7,1.1,12.5,1.2,9.9,NW,NNW,AVERAGE,8.5,319
2022,3,9,19,56,1.8,1.3,11.8,1.2,9.1,NNW,N,SWELL,8.7,328
2022,3,9,19,26,1.7,1.1,13.3,1.2,9.9,NNW,NNW,AVERAGE,8.4,328
2022,3,9,18,56,1.7,1.2,12.5,1.2,9.9,NNW,NNW,SWELL,8.5,332
2022,3,9,18,26,1.8,1.3,13.3,1.3,9.9,NW,N,SWELL,8.8,322
2022,3,9,17,56,1.9,1.3,13.3,1.3,9.9,NW,NNW,SWELL,8.8,325
2022,3,9,17,26,1.8,1.2,10.5,1.2,9.9,NNW,NNW,SWELL,8.5,348
2022,3,9,16,56,1.8,1.2,13.3,1.2,9.9,NNW,N,SWELL,8.7,328
2022,3,9,16,26,1.8,1.3,13.3,1.2,9.1,NNW,N,SWELL,8.9,331
2022,3,9,15,56,1.8,1.3,12.5,1.2,9.9,NNW,NNW,SWELL,8.8,336
2022,3,9,15,26,1.7,1.2,11.8,1.2,9.1,NNW,N,SWELL,8.5,328
2022,3,9,14,56,1.9,1.4,13.3,1.2,9.9,NNW,N,SWELL,8.8,329
2022,3,9,14,26,2,1.4,13.3,1.4,9.9,NW,N,SWELL,8.8,322
2022,3,9,13,56,1.9,1.3,13.3,1.3,8.3,NNW,N,SWELL,8.5,329
2022,3,9,13,26,2,1.4,13.3,1.4,9.9,NNW,NNW,SWELL,8.7,333
2022,3,9,12,56,2.1,1.5,12.5,1.4,9.9,NNW,N,SWELL,8.8,329
2022,3,9,12,26,1.9,1.4,13.3,1.2,9.9,NW,NNW,SWELL,9.1,325
2022,3,9,11,56,1.9,1.3,13.3,1.3,9.9,NW,NNW,SWELL,8.5,321
2022,3,9,11,26,2,1.4,13.3,1.4,9.9,NW,N,SWELL,9,322
2022,3,9,10,56,2.1,1.3,11.8,1.6,9.9,NNW,N,AVERAGE,8.6,329
2022,3,9,10,26,2.2,1.4,14.3,1.6,9.9,NW,NNW,AVERAGE,8.7,325
2022,3,9,9,56,2.2,1.7,14.3,1.4,9.9,NNW,N,SWELL,9.3,332
2022,3,9,9,26,2.3,1.6,13.3,1.6,9.9,NW,N,SWELL,9.1,321
2022,3,9,8,56,2.2,1.4,11.1,1.6,9.9,NNW,MM,AVERAGE,8.8,332
2022,3,9,8,26,2.2,1.5,10.5,1.5,9.1,NNW,N,SWELL,8.8,340
2022,3,9,7,56,2.3,1.7,12.5,1.4,9.1,NW,MM,SWELL,9.2,322
2022,3,9,7,26,2.3,1.6,12.5,1.6,9.1,NNW,N,SWELL,9.1,329
2022,3,9,6,56,2.4,1.9,11.8,1.5,9.1,NNW,N,SWELL,9.1,338
2022,3,9,6,26,2.4,1.8,14.3,1.5,9.9,NNW,N,SWELL,9.1,333
2022,3,9,5,56,2.3,1.8,14.3,1.4,8.3,NW,NNW,SWELL,9,319
2022,3,9,5,26,2.5,1.9,13.3,1.5,9.1,NW,N,SWELL,9.3,324
2022,3,9,4,56,2.6,2,11.1,1.6,9.1,NNW,N,SWELL,9.3,343
